price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id,z_age,z_log_mileage,y,brand_id
9995,9.209840246934501,2010,14,72348,11.18925691026404,Toyota,Toyota,Gasoline,Automatic,Accident/damage reported,Yes,118,0.9034885694962123,0.4674547141972651,-1.0426805943411672,33
94000,11.451050061252142,2023,1,2500,7.824445930877619,Rivian,Other,Unknown/Other,Automatic,None reported,Yes,119,-1.2427695387041209,-2.513675640715573,1.1985292199764732,28
44798,10.709918774549411,2022,2,13177,9.486304051473764,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Unknown,120,-1.0776727611502492,-1.041314869421675,0.457397933273743,24
23000,10.043249494911286,2016,8,96000,11.472113887062386,Porsche,Porsche,Plug-In Hybrid,Automatic,Accident/damage reported,Yes,121,-0.08709209582701846,0.7180582472926638,-0.20927134636438183,29
22495,10.021048341275273,2011,13,93009,11.440462293236513,Chevrolet,Chevrolet,E85 Flex Fuel,Automatic,None reported,Yes,122,0.7383917919423404,0.6900158022002827,-0.231472500000395,7
28998,10.274982141073139,2016,8,52750,10.873338008504597,INFINITI,INFINITI,Hybrid,Automatic,Accident/damage reported,Yes,123,-0.08709209582701846,0.18755922125711097,0.022461299797470247,15
49998,10.819738283610262,2020,4,25361,10.141007269794844,Audi,Audi,Hybrid,Automatic,None reported,Unknown,124,-0.7474792060425056,-0.4612657523827129,0.5672174423345933,2
9995,9.209840246934501,2015,9,98527,11.498096050724227,Audi,Audi,Gasoline,Automatic,Unknown,Unknown,125,0.07800468172685332,0.7410777325633491,-1.0426805943411672,2
9000,9.104979856318357,2017,7,87305,11.377174467988334,Chrysler,Chrysler,Unknown/Other,Automatic,None reported,Yes,127,-0.25218887338089024,0.6339445226842586,-1.1475409849573115,8
30000,10.308952660644293,2015,9,41000,10.62135173563291,BMW,BMW,Gasoline,Automatic,None reported,Yes,129,0.07800468172685332,-0.03569371380556462,0.0564318193686244,4
27899,10.236346124873199,2021,3,42125,10.648420406245304,Subaru,Subaru,Gasoline,CVT,None reported,Yes,130,-0.9125759835963774,-0.011711613139553491,-0.016174716402469258,31
40000,10.596634733096073,2016,8,62000,11.034905792929415,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,131,-0.08709209582701846,0.33070385240446587,0.3441138918204043,24
9950,9.205327830152639,2006,18,153843,11.943694380964681,Land,Land,Gasoline,Automatic,Accident/damage reported,Yes,132,1.5638756797116993,1.1358656468076511,-1.0471930111230296,19
