price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id
28900,10.271596874100524,2019,5,44500,10.703266939811954,Cadillac,Cadillac,Gasoline,Automatic,None reported,Yes,108
73998,11.211793344794042,2021,3,10917,9.298168082341704,BMW,BMW,Gasoline,Automatic,None reported,Unknown,109
47350,10.765322098614224,2005,19,8332,9.027978814382207,Bentley,Bentley,Gasoline,Automatic,None reported,Yes,110
47698,10.772644747276225,2020,4,51247,10.84443187184894,Lincoln,Lincoln,Gasoline,Automatic,None reported,Unknown,111
36500,10.505067539570582,2016,8,69000,11.141876276228,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,112
32662,10.393967601636689,2021,3,147834,11.90385206595727,RAM,RAM,Gasoline,Automatic,None reported,Yes,113
6600,8.794824928014517,2013,11,105000,11.561725152903833,Ford,Ford,E85 Flex Fuel,Automatic,Accident/damage reported,Yes,114
9995,9.209840246934501,2011,13,92203,11.431758792551568,Audi,Audi,Gasoline,Automatic,None reported,Yes,115
69500,11.149082031552883,2010,14,15600,9.65509029374725,Nissan,Nissan,Gasoline,Automatic,None reported,Yes,116
30775,10.334457951052654,2018,6,104700,11.558863947911393,Land,Land,Gasoline,Automatic,Accident/damage reported,Unknown,117
9995,9.209840246934501,2010,14,72348,11.18925691026404,Toyota,Toyota,Gasoline,Automatic,Accident/damage reported,Yes,118
94000,11.451050061252142,2023,1,2500,7.824445930877619,Rivian,Other,Unknown/Other,Automatic,None reported,Yes,119
44798,10.709918774549411,2022,2,13177,9.486304051473764,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Unknown,120
23000,10.043249494911286,2016,8,96000,11.472113887062386,Porsche,Porsche,Plug-In Hybrid,Automatic,Accident/damage reported,Yes,121
22495,10.021048341275273,2011,13,93009,11.440462293236513,Chevrolet,Chevrolet,E85 Flex Fuel,Automatic,None reported,Yes,122
28998,10.274982141073139,2016,8,52750,10.873338008504597,INFINITI,INFINITI,Hybrid,Automatic,Accident/damage reported,Yes,123
49998,10.819738283610262,2020,4,25361,10.141007269794844,Audi,Audi,Hybrid,Automatic,None reported,Unknown,124
9995,9.209840246934501,2015,9,98527,11.498096050724227,Audi,Audi,Gasoline,Automatic,Unknown,Unknown,125
86900,11.372513311253483,2023,1,1300,7.170888478512505,Lucid,Other,Unknown/Other,Automatic,Unknown,Unknown,126
9000,9.104979856318357,2017,7,87305,11.377174467988334,Chrysler,Chrysler,Unknown/Other,Automatic,None reported,Yes,127
25999,10.165813354725493,2012,12,72922,11.197159368922746,Audi,Audi,Gasoline,Automatic,Unknown,Unknown,128
30000,10.308952660644293,2015,9,41000,10.62135173563291,BMW,BMW,Gasoline,Automatic,None reported,Yes,129
27899,10.236346124873199,2021,3,42125,10.648420406245304,Subaru,Subaru,Gasoline,CVT,None reported,Yes,130
40000,10.596634733096073,2016,8,62000,11.034905792929415,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,131
9950,9.205327830152639,2006,18,153843,11.943694380964681,Land,Land,Gasoline,Automatic,Accident/damage reported,Yes,132
53998,10.896702287823487,2019,5,35248,10.470192439043686,BMW,BMW,Gasoline,Automatic,None reported,Unknown,133
9888,9.199077179697472,2015,9,194454,12.177956052804348,Ford,Ford,Gasoline,Automatic,None reported,Yes,134
89999,11.407553838139561,2021,3,21000,9.952325334619427,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,135
86900,11.372513311253483,2013,11,18494,9.825255704266555,Porsche,Porsche,Gasoline,Manual,Unknown,Unknown,136
12990,9.471935109664646,2006,18,218000,12.292254928916668,Dodge,Dodge,Gasoline,Automatic,None reported,Yes,137
36500,10.505067539570582,2021,3,67800,11.124332223082254,Nissan,Nissan,Gasoline,Automatic,Accident/damage reported,Yes,138
42999,10.668932138591325,2014,10,79000,11.277215789596893,Porsche,Porsche,Gasoline,Automatic,Accident/damage reported,Yes,139
63998,11.066607111853518,2022,2,24906,10.122904167442703,Mercedes-Benz,Mercedes-Benz,Hybrid,Automatic,None reported,Unknown,140
12000,9.392661928770137,2006,18,66840,11.110071943698552,Chevrolet,Chevrolet,Gasoline,Automatic,Accident/damage reported,Yes,141
32000,10.373491181781864,2013,11,86000,11.362114203075018,BMW,BMW,Gasoline,Automatic,None reported,Yes,142
